query_id,rank,doc_id,score
2,1,1155,0.20396611362719524
2,2,810,0.18725556524401182
2,3,790,0.15345766187698826
2,4,1156,0.1480275569764049
2,5,1096,0.14155654636868734
2,6,58,0.1373426334792874
2,7,1158,0.1353733871240471
2,8,1399,0.12280347901386612
2,9,597,0.12119134615081703
2,10,381,0.11898946650324102
2,11,166,0.11585150127750256
2,12,562,0.11084161622462795
2,13,1126,0.1080678280972647
2,14,1103,0.1061621544370317
2,15,1396,0.10571431626980045
2,16,1008,0.10404425824992189
2,17,1078,0.10311395719567384
2,18,1071,0.10133546857425875
2,19,1017,0.09774599139108311
2,20,1363,0.09741623703934772
2,21,440,0.09628704284811948
2,22,145,0.09612836143889544
2,23,788,0.09468523505572744
2,24,421,0.093402213414473
2,25,523,0.09229334432000721
2,26,778,0.09204454890394927
2,27,784,0.09097820898665412
2,28,300,0.09017639213325729
2,29,110,0.08884676674544255
2,30,806,0.08667454487114787
2,31,394,0.08626918118462365
2,32,488,0.0852367078774449
2,33,405,0.08499609810720214
2,34,374,0.08438718462990186
2,35,915,0.0812001015944249
2,36,330,0.07916652678987485
2,37,611,0.07871880902338069
2,38,1276,0.07736225862719019
2,39,622,0.0771145489725236
2,40,660,0.07700438041747411
2,41,65,0.07693363304197769
2,42,202,0.07580437544020921
2,43,603,0.07565307210493986
2,44,135,0.07513045004685362
2,45,307,0.07479240537543398
2,46,958,0.07419229003672283
2,47,1083,0.07393038209754904
2,48,663,0.07387333158631484
2,49,376,0.07380129514769757
2,50,206,0.07302760353547852
2,51,1059,0.072425127640785
2,52,1091,0.07167814425124541
2,53,993,0.07151322942678444
2,54,239,0.07141686812256069
2,55,1157,0.07094048193258955
2,56,1055,0.07062557000405176
2,57,1035,0.07046699371254844
2,58,487,0.0696430146015338
2,59,129,0.06951330190460366
2,60,1299,0.06891916213581953
2,61,636,0.06874703389199048
2,62,759,0.06856969243156401
2,63,429,0.06855949364480235
2,64,210,0.06813847161452531
2,65,1177,0.06775199921208967
2,66,1364,0.0673341206011989
2,67,477,0.0672028496737049
2,68,753,0.06717812720915173
2,69,1166,0.06650333025853894
2,70,310,0.06576149886499279
2,71,870,0.06566032333938943
2,72,604,0.06563440114377958
2,73,1376,0.06543700376100774
2,74,98,0.06473402664846209
2,75,375,0.06470172605738073
2,76,1338,0.06455554179360773
2,77,1136,0.06438713501410537
2,78,303,0.06381749520030354
2,79,535,0.06364644489042415
2,80,765,0.06316566222665257
2,81,1054,0.06301467257398895
2,82,47,0.06290070692542227
2,83,1352,0.06158889470324444
