query_id,rank,doc_id,score
2,1,790,13.277834771466633
2,2,1071,13.12264829483378
2,3,381,13.039339324508836
2,4,597,12.957328320843615
2,5,1156,12.180970141012573
2,6,166,12.095030775800208
2,7,1399,11.827442075277759
2,8,810,11.569879851741911
2,9,488,10.980587293160212
2,10,1078,10.634574286608178
2,11,1096,10.53920483346889
2,12,778,10.357682376318177
2,13,206,9.436523095550127
2,14,300,8.815427674257645
2,15,1055,8.665557576003808
2,16,862,8.626172345081052
2,17,421,8.589922356372373
2,18,145,8.53511714542737
2,19,603,8.447759400447747
2,20,523,8.306395947867342
2,21,806,8.263926377683509
2,22,1035,8.262016827434088
2,23,1091,8.066376790061422
2,24,1017,8.043313568586408
2,25,239,8.015481485935734
2,26,487,7.9581961659872995
2,27,1054,7.871515047807945
2,28,1396,7.8586246912341
2,29,892,7.832945143293539
2,30,784,7.823163325102132
2,31,374,7.762968008332692
2,32,1155,7.701658913996825
2,33,788,7.6589222616111
2,34,870,7.623068842051916
2,35,307,7.533337331682078
2,36,1363,7.525863836310888
2,37,77,7.381283720133861
2,38,797,7.339422115409137
2,39,429,7.324239332145815
2,40,80,7.2609916777824175
2,41,477,7.186065281546389
2,42,971,7.180316478822568
2,43,1276,7.171182008638473
2,44,1158,7.168666451296536
2,45,110,7.164293667179715
2,46,1224,7.096384907787177
2,47,492,7.095225484051974
2,48,198,6.941129557980602
2,49,759,6.8253157997103715
2,50,958,6.804352836505123
2,51,915,6.791365758129748
2,52,1157,6.782787627985784
2,53,711,6.764956157536462
2,54,520,6.749308649708308
2,55,1197,6.749308649708308
2,56,1126,6.714757998312373
2,57,605,6.669358105250874
2,58,611,6.657353907078027
2,59,636,6.649735936449646
2,60,1427,6.6417649837024975
2,61,691,6.616492996643847
2,62,526,6.6024912696472455
2,63,1103,6.592910862431312
2,64,1338,6.559381944400435
2,65,98,6.55759802275025
2,66,1248,6.490789359240078
2,67,320,6.484565022004235
2,68,202,6.473904532604639
2,69,562,6.367311156397565
2,70,516,6.349544516700354
2,71,339,6.345631402083353
2,72,1352,6.3395920570189865
2,73,546,6.305455574830533
2,74,928,6.155035880007724
2,75,596,6.138438520369858
2,76,1358,6.121483488866773
2,77,58,6.116709771258552
2,78,375,6.080641332035423
2,79,420,6.006113786949616
2,80,629,6.001075765214658
2,81,598,5.99644340120837
2,82,663,5.9887815339687265
2,83,222,5.979345419351857
2,84,736,5.965137964353687
2,85,65,5.938191730542713
2,86,660,5.92073095881507
2,87,1083,5.890328970249414
2,88,1138,5.869146775993319
2,89,1160,5.860940693936671
2,90,448,5.855739745215544
2,91,210,5.821528668481673
2,92,686,5.814940143411523
2,93,637,5.802127719210722
2,94,446,5.778586518521788
2,95,1252,5.7699733134724855
2,96,820,5.763523966498438
2,97,1090,5.740116065899485
2,98,868,5.740033005192131
2,99,76,5.71390962722123
2,100,511,5.6815059894001605
3,1,1181,15.083770577702445
3,2,469,10.801819150123052
3,3,540,9.46610374504187
3,4,1077,8.836007957397847
3,5,1179,8.439343109669753
